mode,granularity,underflow,N,nb,eps,rel_factor_error,abs_factor_error,relative_residual,tile_breakdown,tile_breakdown_kind,source_csv,source_sweep
dropin_mxfp4,vec1d,gu,32768,2048,1e-8,4.52919e-08,6.55917e-06,4.81702e-09,fp64=57;fp32=53;e2m1=20;mx_fp16=6;,lower,/home/abduraa/MX_project/ooc-cholesky/true_dropin_mxfp4_32k/results.csv,true_mxfp4_dropin_gu
ladder_ieee,n/a,fz,32768,2048,1e-5,8.67119e-07,0.000125576,1.49913e-07,"fp64=16,fp32=186,fp16=4,fp8_e4m3=50",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_ieee_gt20k
ladder_ieee,n/a,fz,32768,2048,1e-6,8.6327e-07,0.000125019,1.46857e-07,"fp64=16,fp32=196,fp8_e4m3=44",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_ieee_gt20k
ladder_ieee,n/a,fz,32768,2048,1e-7,6.37042e-07,9.22564e-05,1.5346e-07,"fp64=16,fp32=206,fp8_e4m3=34",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_ieee_gt20k
ladder_ieee,n/a,fz,32768,2048,1e-8,3.13611e-08,4.54171e-06,2.26344e-09,"fp64=98,fp32=128,fp8_e4m3=30",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_ieee_gt20k
ladder_ieee,n/a,fz,40960,4096,1e-5,1.57408e-06,0.000282974,3.33302e-07,"fp64=10,fp32=74,fp8_e4m3=16",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_ieee_gt20k
ladder_ieee,n/a,fz,40960,4096,1e-6,1.57408e-06,0.000282974,3.33302e-07,"fp64=10,fp32=74,fp8_e4m3=16",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_ieee_gt20k
ladder_ieee,n/a,fz,40960,4096,1e-7,1.04521e-06,0.000187899,3.26697e-07,"fp64=10,fp32=80,fp8_e4m3=10",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_ieee_gt20k
ladder_ieee,n/a,fz,40960,4096,1e-8,1.14375e-08,2.05613e-06,1.34943e-09,"fp64=52,fp32=42,fp8_e4m3=6",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_ieee_gt20k
ladder_ieee,n/a,fz,65536,4096,1e-5,7.64317e-07,0.000217846,2.45711e-07,"fp64=16,fp32=164,fp8_e4m3=76",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_ieee_gt20k
ladder_ieee,n/a,fz,65536,4096,1e-6,7.64317e-07,0.000217846,2.45711e-07,"fp64=16,fp32=164,fp8_e4m3=76",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_ieee_gt20k
ladder_ieee,n/a,fz,65536,4096,1e-7,7.64317e-07,0.000217846,2.45847e-07,"fp64=16,fp32=180,fp8_e4m3=60",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_ieee_gt20k
ladder_ieee,n/a,fz,65536,4096,1e-8,1.82874e-08,5.21228e-06,2.42114e-09,"fp64=100,fp32=96,fp8_e4m3=60",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_ieee_gt20k
ladder_mx_full,tile,fz,32768,2048,1e-5,1.45384e-05,0.00210545,1.93976e-06,"fp64=16,fp32=100,mx_fp16=26,mx_e4m3=64,e2m1=50",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_scaled_tile_FTZ_gt20k
ladder_mx_full,tile,fz,32768,2048,1e-6,2.62698e-06,0.000380439,1.5026e-07,"fp64=16,fp32=100,mx_fp16=88,mx_e4m3=8,e2m1=44",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_scaled_tile_FTZ_gt20k
ladder_mx_full,tile,fz,32768,2048,1e-7,6.56087e-07,9.50145e-05,1.53378e-07,"fp64=16,fp32=128,mx_fp16=68,mx_e4m3=10,e2m1=34",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_scaled_tile_FTZ_gt20k
ladder_mx_full,tile,fz,32768,2048,1e-8,3.13612e-08,4.54172e-06,2.2814e-09,"fp64=98,fp32=108,mx_fp16=16,mx_e4m3=4,e2m1=30",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_scaled_tile_FTZ_gt20k
ladder_mx_full,tile,fz,40960,4096,1e-5,1.1861e-05,0.00213225,1.68394e-06,fp32=21;mx_fp16=10;fp64=10;e2m1=8;mx_e4m3=6;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,ladder_full_tile_fz
ladder_mx_full,tile,fz,40960,4096,1e-6,1.62131e-06,0.000291463,3.33584e-07,fp32=28;fp64=10;mx_fp16=9;e2m1=8;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,ladder_full_tile_fz
ladder_mx_full,tile,fz,40960,4096,1e-7,1.07253e-06,0.000192809,3.26511e-07,fp32=31;fp64=10;mx_fp16=6;e2m1=5;mx_e4m3=3;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,ladder_full_tile_fz
ladder_mx_full,tile,fz,40960,4096,1e-8,1.40948e-08,2.53383e-06,2.27125e-09,fp64=31;fp32=16;mx_fp16=3;e2m1=3;mx_e4m3=2;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,ladder_full_tile_fz
ladder_mx_full,tile,fz,65536,4096,1e-5,1.56446e-05,0.00445904,2.62667e-06,fp32=42;mx_e4m3=40;e2m1=38;fp64=16;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,ladder_full_tile_fz
ladder_mx_full,tile,fz,65536,4096,1e-6,7.80013e-07,0.000222319,2.4601e-07,fp32=42;mx_fp16=40;e2m1=38;fp64=16;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,ladder_full_tile_fz
ladder_mx_full,tile,fz,65536,4096,1e-7,7.70256e-07,0.000219539,2.45611e-07,fp32=58;e2m1=30;mx_fp16=24;fp64=16;mx_e4m3=8;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,ladder_full_tile_fz
ladder_mx_full,tile,fz,65536,4096,1e-8,1.75585e-08,5.00453e-06,2.34086e-09,fp64=58;fp32=40;e2m1=30;mx_fp16=8;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,ladder_full_tile_fz
ladder_mx_full,tile,gu,32768,2048,1e-5,8.08059e-05,0.0117023,2.86216e-06,fp32=50;mx_e4m3=33;e2m1=27;fp64=16;mx_fp16=10;,lower,/home/abduraa/MX_project/ooc-cholesky/ladder_full_gu_missing/results.csv,ladder_full_tile_gu
ladder_mx_full,tile,gu,32768,2048,1e-6,6.12366e-06,0.000886828,1.66463e-07,fp32=50;mx_fp16=43;e2m1=22;fp64=16;mx_e4m3=5;,lower,/home/abduraa/MX_project/ooc-cholesky/ladder_full_gu_missing/results.csv,ladder_full_tile_gu
ladder_mx_full,tile,gu,32768,2048,1e-7,6.68064e-07,9.67489e-05,1.53563e-07,fp32=61;mx_fp16=35;e2m1=17;fp64=16;mx_e4m3=7;,lower,/home/abduraa/MX_project/ooc-cholesky/ladder_full_gu_missing/results.csv,ladder_full_tile_gu
ladder_mx_full,tile,gu,32768,2048,1e-8,4.07897e-08,5.90717e-06,2.86115e-09,fp64=57;fp32=53;e2m1=15;mx_fp16=7;mx_e4m3=4;,lower,/home/abduraa/MX_project/ooc-cholesky/ladder_full_gu_missing/results.csv,ladder_full_tile_gu
ladder_mx_full,tile,gu,40960,4096,1e-5,5.79713e-06,0.00104215,5.73942e-07,"fp64=10,fp32=42,mx_fp16=20,mx_e4m3=12,e2m1=16",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_scaled_tile_gt20k
ladder_mx_full,tile,gu,40960,4096,1e-6,1.25319e-06,0.000225286,3.3152e-07,"fp64=10,fp32=56,mx_fp16=18,e2m1=16",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_scaled_tile_gt20k
ladder_mx_full,tile,gu,40960,4096,1e-7,1.05215e-06,0.000189146,3.26092e-07,"fp64=10,fp32=62,mx_fp16=12,mx_e4m3=6,e2m1=10",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_scaled_tile_gt20k
ladder_mx_full,tile,gu,40960,4096,1e-8,1.25797e-08,2.26147e-06,9.95682e-10,"fp64=52,fp32=32,mx_fp16=6,mx_e4m3=4,e2m1=6",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_scaled_tile_gt20k
ladder_mx_full,tile,gu,65536,4096,1e-5,5.48445e-06,0.00156318,1.01581e-06,"fp64=16,fp32=84,mx_e4m3=80,e2m1=76",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_scaled_tile_gt20k
ladder_mx_full,tile,gu,65536,4096,1e-6,7.80009e-07,0.000222318,2.47861e-07,"fp64=16,fp32=84,mx_fp16=80,e2m1=76",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_scaled_tile_gt20k
ladder_mx_full,tile,gu,65536,4096,1e-7,7.67536e-07,0.000218764,2.45824e-07,"fp64=16,fp32=116,mx_fp16=48,mx_e4m3=16,e2m1=60",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_scaled_tile_gt20k
ladder_mx_full,tile,gu,65536,4096,1e-8,9.86939e-09,2.81298e-06,1.37207e-09,"fp64=100,fp32=80,mx_fp16=16,e2m1=60",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_scaled_tile_gt20k
ladder_mx_full,vec1d,fz,32768,2048,1e-5,5.7099e-05,0.00826907,1.8541e-06,fp32=50;mx_e4m3=33;e2m1=27;fp64=16;mx_fp16=10;,lower,/home/abduraa/MX_project/ooc-cholesky/ladder_rerun_32k/results.csv,ladder_full_fz
